# Magnetometer Calibration Data
# Generated on 2026-03-26 16:57:29
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
7.266667,10.625001,-7.683334,-6.518583,-4.240249,-15.604338
7.291667,10.633334,-7.808334,-6.053182,-4.290492,-16.562616
7.266667,10.633334,-7.708334,-6.474639,-4.210185,-15.781852
7.225000,10.600000,-7.600000,-7.097975,-4.341340,-14.943018
7.225000,10.600000,-7.600000,-7.097975,-4.341340,-14.943018
7.266667,10.733334,-7.583333,-6.631427,-3.460903,-14.764782
7.266667,10.800000,-7.641667,-6.507913,-3.090881,-15.135812
7.250000,10.675000,-7.625000,-6.763926,-3.876824,-15.099832
7.266667,10.675000,-7.625000,-6.590270,-3.869420,-15.126660
7.266667,10.733334,-7.583333,-6.631427,-3.460903,-14.764782
7.208333,10.816668,-7.500000,-7.336353,-2.881452,-13.977605
7.183334,10.775001,-7.583333,-7.481208,-3.233328,-14.592553
7.166667,10.816668,-7.600000,-7.609531,-2.991374,-14.651058
7.208333,10.883334,-7.641667,-7.078700,-2.587607,-14.965736
7.058334,10.858334,-7.750000,-8.478348,-2.912032,-15.549374
7.016667,10.883334,-7.808334,-8.807494,-2.825107,-15.891422
7.083333,11.050000,-7.833334,-7.998579,-1.759982,-16.031511
7.016667,11.066668,-7.875000,-8.618739,-1.721845,-16.217513
7.100000,11.150001,-7.966667,-7.565870,-1.239440,-16.954290
7.166667,11.175000,-7.983334,-6.833302,-1.066307,-17.162168
7.083333,11.191668,-8.066668,-7.560052,-1.073663,-17.629899
7.250000,11.275001,-8.191668,-5.585231,-0.584708,-18.747657
7.358334,11.383334,-8.275001,-4.274186,0.075180,-19.440108
7.341667,11.441668,-8.191668,-4.556068,0.514382,-18.742856
7.466667,11.525001,-8.216667,-3.176366,1.076239,-19.053017
7.525001,11.483334,-8.175000,-2.654140,0.875648,-18.876451
7.566667,11.466667,-8.300000,-2.026188,0.674057,-19.884410
7.566667,11.633334,-8.383334,-1.818008,1.656248,-20.349162
7.550000,11.775001,-8.358334,-1.968979,2.571307,-20.007698
7.650001,11.816668,-8.400001,-0.841441,2.842236,-20.439131
7.566667,11.775001,-8.383334,-1.755074,2.555858,-20.219661
7.733334,11.925000,-8.525001,0.276185,3.452923,-21.399895
7.775001,11.941668,-8.358334,0.449459,3.729629,-20.217522
7.716667,11.983334,-8.508334,0.101615,3.831183,-21.196325
7.566667,12.025001,-8.483334,-1.483048,4.051995,-20.731648
7.816667,12.150001,-8.550000,1.284675,4.895887,-21.513484
7.733334,12.108334,-8.591667,0.464940,4.556185,-21.725987
7.608334,12.108334,-8.591667,-0.837501,4.500655,-21.524776
7.716667,12.275001,-8.591667,0.365323,5.607149,-21.546804
7.716667,12.233334,-8.566668,0.306572,5.365409,-21.399765
7.716667,12.383334,-8.650001,0.507347,6.241765,-21.879746
7.716667,12.425000,-8.733334,0.659996,6.430175,-22.458758
7.633334,12.525001,-8.758334,-0.123633,7.005324,-22.418340
7.775001,12.608334,-8.733334,1.349246,7.620293,-22.385066
7.800000,12.691668,-8.758334,1.686993,8.137732,-22.534265
7.550000,12.775001,-8.775001,-0.854042,8.540619,-22.179086
7.716667,12.716667,-8.758334,0.829808,8.259465,-22.377272
7.716667,12.925001,-8.841667,1.056497,9.506250,-22.803929
7.566667,12.800001,-8.775001,-0.669274,8.706782,-22.183060
7.525001,12.941668,-8.841667,-0.933175,9.526940,-22.480171
7.483334,13.008334,-8.800000,-1.404780,9.969865,-22.043605
7.441667,12.941668,-8.925000,-1.667331,9.413743,-22.963131
7.383334,12.983334,-8.966667,-2.189557,9.614328,-23.139699
7.208333,13.008334,-9.025001,-3.907972,9.642021,-23.267123
7.166667,12.983334,-9.050000,-4.312982,9.441900,-23.408034
7.166667,12.925001,-9.258334,-4.003544,8.881034,-25.004119
7.125000,12.966667,-9.091667,-4.687461,9.279466,-23.664754
7.250000,12.966667,-9.150001,-3.291121,9.281672,-24.297936
7.266667,12.983334,-9.216667,-3.002749,9.333969,-24.803210
7.183334,12.983334,-9.150001,-3.978352,9.357891,-24.175389
7.400001,13.191668,-9.108334,-1.695309,10.815193,-24.025156
7.225000,12.983334,-9.233334,-3.410067,9.300224,-24.859559
7.383334,13.216667,-9.150001,-1.790793,10.928453,-24.284028
7.250000,13.216667,-9.066668,-3.314202,10.945398,-23.452304
7.250000,13.175001,-9.133334,-3.225400,10.619869,-23.984074
7.208333,13.133334,-9.175000,-3.610991,10.298677,-24.263639
7.183334,13.050001,-9.133334,-3.975564,9.796478,-23.991028
7.208333,13.066668,-9.216667,-3.573536,9.837242,-24.633134
7.266667,13.091667,-9.133334,-3.088763,10.098086,-24.087079
