# Magnetometer Calibration Data
# Generated on 2026-03-26 16:43:30
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
3.258333,14.333334,-8.483334,3.857455,17.603209,-25.042637
3.233334,14.266667,-8.466667,3.786736,17.168594,-24.903924
3.316667,14.291667,-8.550000,4.147854,17.356418,-25.310027
3.508333,14.250001,-8.508334,5.118002,16.913524,-25.006356
3.508333,14.308334,-8.341667,5.129953,17.132112,-24.248096
3.725000,14.416667,-8.400001,6.088421,17.749206,-24.571853
3.791667,14.391667,-8.466667,6.407885,17.605599,-24.852901
3.725000,14.558334,-8.191668,6.056654,18.471414,-23.691004
3.566667,14.625001,-8.275001,5.218182,19.095518,-24.212486
3.566667,14.708334,-8.191668,5.187360,19.558543,-23.886123
3.441667,14.666667,-8.150001,4.622725,19.330768,-23.680446
3.316667,14.808334,-7.983334,3.972227,20.178483,-23.042049
3.316667,15.000001,-8.050000,3.821387,21.495095,-23.554790
3.125000,14.975000,-7.966667,2.935212,21.380860,-23.182213
3.125000,15.041667,-7.966667,2.889922,21.816223,-23.247155
3.041667,15.016667,-7.941667,2.510751,21.685223,-23.126329
2.833333,14.933334,-7.966667,1.549900,21.306905,-23.231888
2.683333,14.958334,-7.966667,0.805912,21.572066,-23.302662
2.591667,15.058334,-8.008334,0.280803,22.327976,-23.632216
2.341667,15.083334,-8.091667,-0.973643,22.742249,-24.141478
2.058333,15.266667,-7.933334,-2.422418,23.977743,-23.633425
1.916667,15.183334,-7.808334,-3.013736,23.408015,-22.984778
1.641667,15.183334,-7.766667,-4.333680,23.554246,-22.866111
1.508333,15.291668,-7.708334,-5.035449,24.295469,-22.727629
1.483333,15.308334,-7.766667,-5.185991,24.478115,-23.036878
1.091667,15.100000,-7.750000,-6.937589,23.367442,-22.873637
1.041667,15.141667,-7.791667,-7.221125,23.714102,-23.133470
0.766667,15.225000,-7.766667,-8.602840,24.420771,-23.177490
0.541667,15.166667,-7.625000,-9.609874,24.054679,-22.497479
0.508333,15.266667,-7.458333,-9.787786,24.568016,-21.790124
0.191667,15.500001,-6.958333,-11.326348,25.819851,-19.670174
0.108333,15.583334,-6.833333,-11.748166,26.298899,-19.165829
0.000000,15.666668,-6.608334,-12.260205,26.697524,-18.180173
-0.258333,15.808334,-6.400001,-13.544033,27.595224,-17.379271
-0.316667,15.850000,-6.383334,-13.849905,27.890715,-17.356402
-0.666667,15.725000,-6.233334,-15.414906,27.166060,-16.609377
-0.625000,15.625001,-6.275000,-15.157922,26.525300,-16.702840
-0.833333,15.558334,-6.358334,-16.148148,26.312645,-17.109914
-0.766667,15.250001,-6.525001,-15.667150,24.416154,-17.604009
-0.808333,14.975000,-6.750000,-15.751907,22.867761,-18.449378
-1.000000,14.583334,-7.000000,-16.492147,20.683742,-19.349783
-1.000000,14.433334,-7.183334,-16.446983,19.882768,-20.100255
-1.091667,14.208334,-7.250000,-16.759041,18.540628,-20.235476
-1.233333,13.933334,-7.250000,-17.258835,16.840997,-20.011433
-1.275000,13.808334,-7.308334,-17.393916,16.109820,-20.187840
-1.258333,13.808334,-7.333333,-17.320874,16.122851,-20.304943
-1.383333,13.600000,-7.433334,-17.816127,14.944667,-20.629734
-1.508333,13.475000,-7.433334,-18.337045,14.213279,-20.546652
-1.358333,13.625001,-7.333333,-17.680996,14.993535,-20.157300
-1.383333,13.458334,-7.475000,-17.732782,14.060110,-20.695502
-1.400000,13.475000,-7.416667,-17.806829,14.123447,-20.431616
-1.316667,13.391667,-7.500000,-17.372116,13.603810,-20.732191
-1.341667,13.375001,-7.475000,-17.474224,13.487601,-20.601430
-1.583333,13.175001,-7.500000,-18.517375,12.370040,-20.603657
-1.600000,13.091667,-7.625000,-18.580225,11.958921,-21.138948
-1.916667,12.608334,-7.833334,-19.851133,9.220603,-21.784972
-2.000000,12.508334,-7.850000,-20.192248,8.640409,-21.794856
-1.958333,12.508334,-7.750000,-19.959355,8.514690,-21.292912
-2.108333,12.258334,-7.850000,-20.547469,7.081391,-21.584850
-2.175000,11.966667,-7.916667,-20.693071,5.286905,-21.647392
-2.316667,11.900001,-8.050000,-21.375659,5.077667,-22.278358
-2.233333,11.841667,-7.983334,-20.911508,4.575169,-21.869711
-2.191667,11.758334,-7.941667,-20.640056,3.962072,-21.571869
-2.108333,11.758334,-7.966667,-20.243902,3.929813,-21.668342
-2.133333,11.841667,-8.050000,-20.447471,4.572177,-22.164796
-2.058333,11.900001,-8.066668,-20.128755,4.918405,-22.279922
-2.091667,11.883334,-7.966667,-20.248042,4.734797,-21.784951
-2.058333,12.008334,-7.875000,-20.143035,5.439164,-21.448106
-2.083333,12.025001,-7.791667,-20.249736,5.483809,-21.064536
-2.191667,11.983334,-7.791667,-20.746487,5.285301,-21.057473
-2.133333,12.233334,-7.750000,-20.620705,6.837697,-21.079184
-2.091667,12.608334,-7.666667,-20.647725,9.177133,-21.024046
-2.133333,12.650001,-7.641667,-20.870240,9.453190,-20.955267
-2.175000,12.566668,-7.500000,-20.971731,8.799292,-20.194166
-2.233333,12.816668,-7.500000,-21.424291,10.471534,-20.455751
-2.216667,12.716667,-7.475000,-21.267841,9.782811,-20.230917
-2.441667,12.650001,-7.558334,-22.338847,9.581478,-20.643149
-2.525000,12.525001,-7.516667,-22.644924,8.781194,-20.343400
-2.683333,12.383334,-7.541667,-23.323813,7.987965,-20.376661
-2.566667,12.341667,-7.666667,-22.768744,7.758370,-20.911279
-2.550000,12.341667,-7.500000,-22.636387,7.584692,-20.091039
-2.566667,12.525001,-7.541667,-22.854607,8.833854,-20.478557
-2.525000,12.525001,-7.583333,-22.665556,8.846136,-20.669432
-2.358333,12.716667,-7.541667,-21.975087,9.943993,-20.600792
-2.216667,13.008334,-7.475000,-21.465984,11.687528,-20.515039
-2.108333,13.150001,-7.375000,-21.006219,12.441666,-20.130465
-1.916667,13.391667,-7.433334,-20.259498,13.946476,-20.591844
-1.750000,13.875001,-7.250000,-19.723330,16.811049,-20.114504
-1.525000,14.166667,-7.100000,-18.784546,18.416788,-19.595418
-1.400000,14.583334,-6.891667,-18.397297,20.849950,-18.943768
-1.108333,14.766667,-6.725000,-17.056646,21.686702,-18.217014
-0.750000,15.141667,-6.641667,-15.548881,23.811013,-18.063876
-0.641667,15.558334,-6.425000,-15.239831,26.247379,-17.376630
-0.358333,15.875001,-6.233334,-14.022413,27.936166,-16.660076
-0.025000,16.175001,-6.050000,-12.553916,29.490264,-15.952566
0.025000,16.425001,-5.816667,-12.409208,30.861613,-15.039511
0.466667,16.691668,-5.633334,-10.393008,32.124431,-14.266003
0.641667,16.983334,-5.758334,-9.781664,34.032023,-15.107278
0.916667,16.983334,-5.591667,-8.397245,33.682848,-14.207091
1.191667,17.025002,-5.633334,-7.105607,33.808727,-14.366345
1.583333,17.175001,-5.550000,-5.283432,34.441038,-13.983712
1.833333,17.216667,-5.675000,-4.138750,34.665066,-14.558243
2.016667,17.025002,-5.691667,-3.125140,33.305091,-14.396308
2.316667,17.150002,-5.650000,-1.743157,33.877005,-14.221459
2.566667,17.050001,-5.858334,-0.528024,33.257065,-15.065531
3.191667,16.650002,-6.275000,2.643948,30.626183,-16.520163
3.191667,16.650002,-6.216667,2.662000,30.569359,-16.234886
3.358334,16.525002,-6.400001,3.497963,29.818418,-16.958131
3.591667,16.275002,-6.608334,4.734220,28.230234,-17.661239
3.891667,16.066668,-6.725000,6.293652,26.779564,-17.936011
4.100000,15.891667,-6.891667,7.370687,25.657558,-18.516145
4.275000,15.683334,-7.000000,8.326860,24.283695,-18.788848
4.550000,15.516667,-7.125000,9.734240,23.130230,-19.152699
4.833333,15.100000,-7.333333,11.326056,20.419668,-19.677978
5.100000,14.808334,-7.391667,12.798597,18.390621,-19.596609
5.425000,14.308334,-7.683334,14.623179,15.188729,-20.435360
5.633334,14.100000,-7.850000,15.722859,13.849038,-20.983023
6.016667,13.375001,-8.091667,17.998491,9.089462,-21.340017
6.208333,13.025001,-8.233334,19.121369,6.811595,-21.632574
6.225000,12.508334,-8.466667,19.480932,3.653503,-22.265231
6.300000,12.108334,-8.608334,20.072330,1.128369,-22.545187
6.341667,11.675000,-8.816668,20.504186,-1.526857,-23.129024
6.341667,11.425000,-8.883334,20.653391,-3.094528,-23.211524
6.441667,11.108334,-9.066668,21.296448,-5.051849,-23.768693
6.383334,10.691668,-8.983334,21.322574,-7.814417,-22.973314
6.566667,10.416667,-8.983334,22.397955,-9.734842,-22.648690
6.791667,10.250001,-9.066668,23.575894,-10.894921,-22.824248
7.208333,10.183333,-8.816668,25.718006,-11.856884,-21.407734
7.733334,10.125001,-8.566668,28.379515,-12.838011,-19.965812
8.208334,10.416667,-8.025001,30.651185,-11.783644,-17.453913
8.691668,10.650001,-7.666667,32.946133,-10.937284,-15.779202
8.691668,10.650001,-7.666667,32.946133,-10.937284,-15.779202
8.733334,10.600000,-7.641667,33.189780,-11.316467,-15.595338
8.691668,10.600000,-7.750000,32.954311,-11.182630,-16.138038
8.508334,10.558334,-7.933334,32.037320,-11.151591,-17.050777
8.266667,10.458334,-8.050000,30.897865,-11.526815,-17.598710
8.100000,10.291667,-8.175000,30.164622,-12.380235,-18.099245
8.083334,10.125001,-8.233334,30.179017,-13.400493,-18.227328
7.733334,9.766667,-8.591667,28.615211,-15.153739,-19.739009
7.891667,9.541667,-8.675000,29.509667,-16.649480,-19.878368
7.841667,9.391667,-8.566668,29.402761,-17.700608,-19.217922
7.891667,8.975000,-8.800000,29.855945,-20.228303,-19.937673
7.975000,8.791667,-8.758334,30.397278,-21.522754,-19.529525
7.975000,8.350000,-8.858334,30.666375,-24.309625,-19.588330
8.100000,8.041667,-8.691668,31.533255,-26.570455,-18.434209
8.208334,8.125000,-8.800000,31.968176,-25.994318,-19.011660
8.483334,8.291667,-8.383334,33.316737,-25.498614,-17.051207
8.883334,8.600000,-8.008334,35.162004,-24.122095,-15.393838
9.291667,8.600000,-7.666667,37.246803,-24.732323,-13.596548
9.591667,8.558333,-7.266667,38.852908,-25.597884,-11.506918
9.925000,8.291667,-7.041667,40.719260,-27.784965,-10.043631
