# Magnetometer Calibration Data
# Generated on 2026-03-26 17:24:14
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
18.125000,56.350002,-35.166668,-26.185590,12.589255,-26.595469
18.125000,56.350002,-35.166668,-26.185590,12.589255,-26.595469
18.166668,56.475002,-35.375000,-26.095213,12.723335,-26.784754
18.000000,56.683338,-35.458336,-26.432041,12.932838,-26.863917
18.083334,56.558338,-35.416668,-26.269696,12.800552,-26.828663
18.083334,56.058334,-35.500000,-26.431863,12.122370,-27.021927
18.041668,56.225002,-35.416668,-26.462045,12.347833,-26.906161
18.083334,56.433338,-35.333336,-26.289593,12.652645,-26.765225
18.208334,56.641670,-35.500000,-25.976188,12.929798,-26.875982
18.166668,56.516670,-35.541668,-26.116107,12.743788,-26.954908
18.291668,56.725002,-35.208336,-25.703609,13.124801,-26.529245
18.250000,56.558338,-35.208336,-25.847411,12.892377,-26.572123
18.166668,56.725002,-35.208336,-25.989357,13.088388,-26.554019
18.291668,56.350002,-35.166668,-25.804590,12.637806,-26.562438
18.166668,56.225002,-35.000000,-26.093719,12.470797,-26.434367
18.291668,56.308338,-35.083336,-25.800211,12.600047,-26.481689
18.125000,56.350002,-35.500000,-26.251652,12.520015,-26.953083
18.458334,56.016670,-35.583336,-25.603273,12.159229,-27.045668
17.958334,56.100002,-35.625000,-26.730247,12.115066,-27.172151
18.250000,56.350002,-35.375000,-25.941131,12.582393,-26.794204
18.291668,55.850002,-35.708336,-26.057592,11.864423,-27.247425
18.291668,56.058334,-35.291668,-25.914326,12.226333,-26.757129
18.291668,55.600002,-35.791668,-26.146933,11.516679,-27.388758
18.416668,55.933334,-35.833336,-25.772343,11.985013,-27.339448
18.500002,55.891670,-35.833336,-25.593980,11.954220,-27.331586
18.583334,55.975002,-34.916668,-25.197537,12.279049,-26.314316
18.583334,55.975002,-34.916668,-25.197537,12.279049,-26.314316
18.625002,55.683334,-35.416668,-25.286343,11.801818,-26.903068
18.791668,56.058334,-35.333336,-24.779593,12.363329,-26.702738
18.583334,56.016670,-34.875000,-25.177141,12.342778,-26.260958
18.750002,55.641670,-35.291668,-24.987958,11.809127,-26.752843
18.850000,55.558334,-35.625000,-24.849702,11.658869,-27.107949
18.850000,55.225002,-35.541668,-24.930286,11.235602,-27.087787
18.933334,55.350002,-35.833336,-24.761179,11.364509,-27.358221
18.708334,55.058334,-35.625000,-25.319200,10.956734,-27.239886
18.166668,55.016670,-35.958336,-26.635639,10.674636,-27.713511
17.916668,55.225002,-36.083336,-27.171220,10.851205,-27.853889
17.683334,55.891670,-36.083336,-27.510415,11.664392,-27.761652
17.516668,55.683334,-35.875000,-27.910810,11.383753,-27.614446
17.100000,55.933334,-36.041668,-28.823511,11.558190,-27.823903
16.850000,56.225002,-35.791668,-29.260497,11.922803,-27.544653
16.375000,56.475002,-36.041668,-30.323061,12.062937,-27.855074
16.375000,57.016670,-35.791668,-30.115725,12.830809,-27.474346
16.041668,56.766670,-36.208336,-31.033120,12.316724,-28.039360
16.000000,56.850002,-35.583336,-30.980230,12.544555,-27.359778
15.641667,56.933338,-35.625000,-31.783354,12.541665,-27.458184
15.683334,57.225002,-36.083336,-31.693978,12.844099,-27.881066
15.558334,57.141670,-35.666668,-31.921422,12.784095,-27.476128
15.475000,57.391670,-35.875000,-32.080385,13.046978,-27.664222
15.708334,57.558338,-36.208336,-31.564501,13.265998,-27.940976
15.350000,57.350002,-36.041668,-32.411303,12.920871,-27.876460
15.350000,57.350002,-36.041668,-32.411303,12.920871,-27.876460
15.141667,57.141670,-36.250000,-32.989525,12.541548,-28.184533
15.391667,57.475002,-36.541668,-32.378734,12.994365,-28.378661
15.600000,57.183338,-36.333336,-31.946162,12.712825,-28.174448
15.750001,57.100002,-36.458336,-31.652312,12.620407,-28.296136
16.375000,57.308338,-36.125000,-30.096824,13.147076,-27.771375
16.850000,57.391670,-36.000000,-28.961933,13.421553,-27.525820
