# Magnetometer Calibration Data
# Generated on 2026-03-25 21:10:10
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
0.750000,4.058333,-13.275001,-3.100875,10.865522,-40.045079
0.483333,3.958333,-13.183334,-4.361393,10.263438,-39.561697
0.275000,3.875000,-13.316668,-5.283606,9.847732,-39.988933
0.025000,3.750000,-13.275001,-6.461849,9.151154,-39.697927
-0.175000,3.958333,-13.225000,-7.307095,10.060594,-39.519194
-0.641667,4.058333,-13.166667,-9.389486,10.360482,-39.181935
-1.050000,4.391667,-13.083334,-11.139925,11.784906,-38.855128
-1.233333,4.683333,-12.891667,-11.926987,13.043053,-38.156217
-1.466667,4.975000,-12.975000,-12.852488,14.391318,-38.524321
-1.441667,5.250000,-12.891667,-12.674786,15.681198,-38.310824
-1.558333,5.250000,-12.850000,-13.212198,15.626210,-38.110173
-1.625000,5.383334,-12.791667,-13.485765,16.218434,-37.911350
-1.600000,5.466667,-12.750001,-13.358755,16.608733,-37.787499
-1.558333,5.383334,-12.791667,-13.186142,16.240613,-37.932266
-1.558333,5.208333,-12.833334,-13.231289,15.420662,-38.028382
-1.341667,5.225000,-12.808334,-12.259814,15.562671,-38.004403
-1.275000,5.141667,-12.808334,-11.987915,15.186695,-37.992970
-0.508333,4.958333,-13.016667,-8.537885,14.646684,-38.982567
-0.400000,4.850000,-12.891667,-8.126256,14.116602,-38.482365
-0.150000,4.933333,-13.016667,-6.935730,14.646450,-39.085286
0.091667,5.016667,-12.958334,-5.840176,15.102360,-38.963791
0.466667,5.058333,-13.016667,-4.122635,15.448838,-39.327283
0.750000,5.083333,-13.100000,-2.814777,15.694894,-39.753972
1.041667,5.250000,-13.083334,-1.453709,16.581769,-39.844559
1.400000,5.358334,-12.975000,0.158815,17.176528,-39.572515
2.150000,5.550000,-12.766667,3.527972,18.260927,-39.061994
2.666667,5.733334,-12.708334,5.892738,19.286111,-39.065595
3.133333,5.800000,-12.708334,8.012275,19.759888,-39.237886
3.650000,6.066667,-12.541667,10.370777,21.141175,-38.847316
3.833333,6.025000,-12.458334,11.154732,20.970740,-38.560570
4.016667,6.050000,-12.350000,11.953023,21.109126,-38.201273
4.041667,5.941667,-12.333334,12.024112,20.593373,-38.101446
4.141667,5.800000,-12.333334,12.426415,19.949778,-38.077828
4.233334,5.800000,-12.458334,12.877614,20.028797,-38.598726
4.100000,5.525000,-12.458334,12.186881,18.670528,-38.450143
3.808334,5.341667,-12.625001,10.867330,17.762253,-38.943654
3.358334,5.016667,-12.766667,8.781200,16.114732,-39.234067
3.100000,4.541667,-12.875001,7.496125,13.801360,-39.395152
2.625000,4.250000,-12.850000,5.256437,12.240086,-39.034475
2.441667,3.725000,-12.933334,4.283960,9.703069,-39.101255
2.258333,3.291667,-12.891667,3.302761,7.555497,-38.711476
2.058333,3.083333,-12.958334,2.355500,6.519452,-38.830330
1.600000,2.633333,-12.791667,0.093596,4.152238,-37.855665
1.600000,2.633333,-12.791667,0.093596,4.152238,-37.855665
1.191667,2.341667,-12.916667,-1.799409,2.671373,-38.106472
1.091667,2.150000,-12.958334,-2.299535,1.738523,-38.164744
0.791667,2.066667,-12.916667,-3.688633,1.224388,-37.874226
0.600000,2.050000,-12.875001,-4.568666,1.064819,-37.643579
0.383333,1.983333,-12.875001,-5.564618,0.674213,-37.549723
0.233333,1.900000,-12.875001,-6.266493,0.226155,-37.470313
0.091667,1.800000,-12.875001,-6.936460,-0.298761,-37.387048
-0.191667,1.733333,-12.850000,-8.239879,-0.721250,-37.173846
-0.258333,1.858333,-12.725000,-8.537133,-0.194720,-36.709315
-0.275000,1.716667,-12.725000,-8.659169,-0.877128,-36.649094
-0.358333,1.858333,-12.791667,-8.965651,-0.202110,-36.940414
-0.425000,1.858333,-12.641667,-9.312335,-0.282516,-36.328934
-0.466667,2.025000,-12.708334,-9.423235,0.525810,-36.643032
-0.400000,1.925000,-12.666667,-9.169954,0.054029,-36.461082
-0.133333,1.883333,-12.708334,-7.972253,-0.040158,-36.692620
-0.091667,1.858333,-12.791667,-7.767161,-0.113394,-37.024079
0.050000,1.900000,-12.708334,-7.142746,0.100466,-36.756609
0.425000,2.091667,-12.808334,-5.362229,1.179797,-37.342375
0.558333,2.383333,-12.750001,-4.684252,2.595053,-37.267762
0.725000,2.875000,-13.000001,-3.693190,5.096659,-38.495185
0.850000,3.583333,-13.000001,-2.895745,8.522560,-38.809365
1.133333,3.975000,-12.933334,-1.512963,10.462269,-38.787822
1.258333,4.583333,-12.875001,-0.767088,13.387740,-38.833519
1.583333,5.308333,-12.850000,0.926925,16.950104,-39.118487
1.641667,5.466667,-12.725000,1.202553,17.677484,-38.706113
1.875000,5.633334,-12.625001,2.275306,18.512601,-38.450308
1.933333,5.983334,-12.600000,2.646072,20.194553,-38.506043
2.150000,6.441667,-12.583334,3.767097,22.450017,-38.686320
2.441667,6.566667,-12.708334,5.158750,23.192805,-39.318488
2.400000,6.566667,-12.583334,4.932268,23.130420,-38.813278
2.341667,6.816667,-12.500001,4.727124,24.273129,-38.563931
2.133333,6.941667,-12.516667,3.837619,24.807521,-38.612708
2.016667,7.091667,-12.708334,3.423316,25.559789,-39.388944
1.975000,6.983334,-12.433334,3.113732,24.921575,-38.251116
1.975000,6.775001,-12.583334,3.091483,23.984416,-38.760809
1.975000,6.525001,-12.625001,3.021385,22.806127,-38.827811
1.708333,6.525001,-12.708334,1.849039,22.749759,-39.072237
1.400000,6.483334,-12.808334,0.480797,22.486920,-39.353038
1.300000,6.400001,-12.725000,-0.022506,22.023150,-38.961221
0.850000,6.441667,-12.750001,-2.023254,22.082222,-38.934642
0.600000,6.358334,-12.725000,-3.182406,21.591191,-38.725428
0.258333,6.341667,-12.791667,-4.702601,21.423772,-38.874237
0.066667,6.483334,-12.833334,-5.503813,22.053044,-39.033143
-0.191667,6.441667,-12.666667,-6.731003,21.703326,-38.279734
-0.583333,6.383334,-12.625001,-8.523765,21.278142,-37.970164
-1.041667,6.508334,-12.600000,-10.549929,21.713188,-37.776459
-1.466667,6.691667,-12.516667,-12.425175,22.415389,-37.386195
-1.750000,6.841667,-12.308334,-13.714032,22.956936,-36.535300
-2.641667,6.900001,-12.058334,-17.780513,22.841954,-35.293915
-2.725000,6.841667,-12.083334,-18.166604,22.545226,-35.343553
-3.133333,7.066667,-12.000001,-19.953084,23.452049,-34.974692
-3.633333,7.008334,-11.775001,-22.290252,22.919656,-33.909327
-3.875000,7.191667,-11.466667,-23.412129,23.595508,-32.690732
-4.233334,7.091667,-11.483334,-25.050640,23.004980,-32.605108
-4.341667,7.191667,-11.300000,-25.561777,23.375558,-31.888134
-4.833333,7.025001,-11.066668,-27.900148,22.325103,-30.750526
-5.258334,6.841667,-10.966667,-29.902609,21.268953,-30.152308
-5.550000,6.633334,-10.800000,-31.335058,20.111835,-29.323743
-5.916667,6.383334,-10.650001,-33.113215,18.737159,-28.521095
-6.358334,6.300000,-10.416667,-35.199145,18.101491,-27.431519
-6.425000,6.108334,-10.166667,-35.640967,17.066511,-26.351925
-6.733334,5.925000,-10.083334,-37.113859,16.055644,-25.855931
-6.850000,5.900000,-10.100000,-37.641288,15.903853,-25.875240
-6.833333,5.691667,-10.166667,-37.614775,14.939892,-26.062072
-6.675000,5.400000,-10.291667,-36.960987,13.647547,-26.490666
-6.341667,5.291667,-10.516667,-35.428324,13.328183,-27.439043
-6.058334,4.891667,-11.008334,-34.133746,11.702157,-29.308407
-5.733334,4.558333,-11.091667,-32.757835,10.250008,-29.609070
-5.233334,4.000000,-11.591667,-30.539544,7.942805,-31.517758
-4.808333,3.333333,-11.841667,-28.772804,4.996005,-32.376586
-4.441667,2.466667,-12.058334,-27.345232,1.061286,-33.008241
-4.275000,1.608333,-11.975000,-26.907874,-3.016608,-32.399248
-4.100000,0.675000,-12.000001,-26.424029,-7.408017,-32.190279
