# Magnetometer Calibration Data
# Generated on 2026-03-26 17:03:11
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
3.525000,10.800000,-8.233334,-30.330143,7.043432,-12.014824
3.425000,10.841667,-8.191668,-33.962102,13.794848,-4.899192
3.508333,10.775001,-8.150001,-32.365191,4.656043,-2.878185
3.650000,10.775001,-8.191668,-26.769176,5.328914,-9.585086
3.608334,10.858334,-8.175000,-27.500950,19.108655,-5.140019
3.566667,10.691668,-8.233334,-30.121284,-10.504329,-15.151252
3.666667,10.758334,-8.216667,-26.028027,2.158425,-13.058490
3.650000,10.858334,-8.133334,-26.600429,20.580989,-0.967477
3.591667,10.883334,-8.216667,-27.223034,22.090945,-9.067356
3.550000,10.800000,-8.216667,-29.674633,7.729878,-10.461002
3.591667,10.775001,-8.233334,-28.260290,3.661559,-13.527243
3.591667,10.800000,-8.150001,-29.119691,9.793109,-3.439250
3.525000,10.883334,-8.050000,-31.889283,25.250064,10.848546
3.650000,10.900001,-8.175000,-25.536916,26.532962,-4.731177
3.525000,10.841667,-8.258334,-29.496999,13.389295,-13.879230
3.591667,10.858334,-8.091667,-29.243471,20.883225,4.587489
3.483334,10.650001,-8.175000,-34.368159,-17.037469,-8.336110
3.508333,10.841667,-8.191668,-31.009137,14.769952,-6.051124
3.566667,10.775001,-8.233334,-29.146184,3.369026,-13.181661
3.525000,10.775001,-8.216667,-30.853053,3.275387,-10.706291
3.508333,10.758334,-8.133334,-32.790592,2.275318,-1.372696
3.550000,10.858334,-8.050000,-31.295928,21.380478,9.912072
3.566667,10.800000,-8.133334,-30.235968,9.894490,-1.194266
3.466667,10.800000,-8.150001,-33.549142,8.330452,-1.711351
3.508333,10.800000,-8.300000,-29.999191,5.272734,-19.382157
3.591667,10.841667,-8.216667,-27.710590,15.154188,-10.052162
3.666667,10.800000,-8.133334,-26.692410,11.064614,-2.576583
3.633333,10.775001,-8.258334,-26.438224,3.558216,-16.952419
3.466667,10.733334,-8.191668,-33.753255,-3.753071,-8.035644
3.525000,10.816668,-8.133334,-31.517425,12.181734,-0.224362
3.508333,10.775001,-8.191668,-31.789220,3.671236,-7.626801
3.483334,10.841667,-8.258334,-30.973478,12.901745,-13.303266
3.466667,10.900001,-8.258334,-30.881497,22.418120,-11.694159
3.466667,10.900001,-8.258334,-30.881497,22.418120,-11.694159
3.525000,10.841667,-8.108334,-31.570486,16.934586,3.215721
3.508333,10.733334,-8.108334,-33.428718,-1.295907,0.885623
3.466667,10.733334,-8.191668,-33.753255,-3.753071,-8.035644
3.591667,10.841667,-8.175000,-28.286561,16.138995,-5.303547
3.550000,10.841667,-8.150001,-30.108622,16.242312,-1.878475
3.508333,10.800000,-8.191668,-31.496694,7.833195,-7.035930
3.466667,10.841667,-8.133334,-33.291969,15.661122,1.172859
3.566667,10.816668,-8.275001,-28.082657,9.320976,-16.945470
3.650000,10.883334,-8.300000,-24.004035,20.803925,-19.370828
3.466667,10.675000,-8.233334,-33.859871,-14.449251,-14.162871
3.633333,10.775001,-8.191668,-27.359769,5.133893,-9.354700
3.591667,10.733334,-8.275001,-28.171875,-4.260005,-19.260665
3.483334,10.775001,-8.216667,-32.329531,2.787836,-10.130327
3.383333,10.858334,-8.400001,-32.363744,11.157946,-27.672172
3.566667,10.925000,-8.175000,-28.197353,29.719817,-2.988375
3.608334,10.883334,-8.175000,-27.208412,23.270772,-4.549126
