# Magnetometer Calibration Data
# Generated on 2026-03-25 21:13:01
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
6.675000,18.341667,4.708333,15.838626,60.384060,24.815593
6.891667,18.750002,4.833333,16.602895,62.745570,25.268917
6.758334,18.666668,4.875000,16.064716,62.288771,25.455512
6.875000,18.600000,4.833333,16.580620,61.855902,25.278046
6.958333,18.591667,4.833333,16.932999,61.779700,25.268260
6.975000,18.483334,4.750000,17.047554,61.131985,24.938616
6.933334,18.625002,4.641667,16.840900,61.995594,24.504455
7.125000,18.525002,4.600000,17.682155,61.340014,24.319405
7.100000,18.750002,4.166667,17.558663,62.710884,22.581614
7.125000,18.833334,3.858334,17.674764,63.214708,21.343512
7.058334,18.933334,3.483334,17.409006,63.850264,19.849633
6.833333,18.466667,4.558333,16.481717,61.086631,24.191424
7.083333,18.766668,4.125000,17.488509,62.817589,22.416495
7.041667,19.041668,3.341667,17.321935,64.508618,19.280903
6.975000,19.266668,2.775000,17.039865,65.899034,17.015830
6.891667,19.000002,2.250000,16.839008,64.359310,14.942406
6.933334,19.391668,1.916667,16.930122,66.698656,13.587870
7.000000,19.433334,1.375000,17.262833,66.951676,11.414999
6.975000,19.641668,0.733333,17.170087,68.232958,8.846166
6.733334,19.416668,-0.966667,16.435026,67.047705,2.098593
6.733334,19.416668,-0.966667,16.435026,67.047705,2.098593
6.341667,18.916668,-1.600000,15.027545,64.218937,-0.358685
6.425000,18.708334,-2.675000,15.574800,63.000286,-4.651256
6.125000,18.091667,-3.675000,14.633891,59.463646,-8.578235
5.891667,17.425001,-4.625000,13.982549,55.605142,-12.311356
5.441667,16.941668,-5.716667,12.380946,52.916021,-16.592322
4.891667,16.233334,-6.725000,10.420987,48.912305,-20.517701
4.233334,15.583334,-7.625000,7.974604,45.285939,-24.000055
3.358334,14.891667,-8.275001,4.601619,41.468007,-26.455776
2.791667,14.458334,-8.858334,2.432404,39.090247,-28.695189
2.091667,14.208334,-9.091667,-0.397400,37.832146,-29.529511
1.508333,13.933334,-9.416667,-2.718435,36.392146,-30.742906
0.625000,13.458334,-9.641667,-6.247165,33.849478,-31.510923
