# Magnetometer Calibration Data
# Generated on 2026-03-26 17:00:07
raw_x,raw_y,raw_z,calibrated_x,calibrated_y,calibrated_z
5.808334,10.675000,-6.441667,1.204826,-18.206455,16.547388
5.766667,10.716667,-6.341667,-2.587140,-13.651276,23.886594
5.808334,10.675000,-6.316667,-0.641276,-15.675674,23.897688
5.733334,10.633334,-6.316667,-3.258302,-16.656059,24.161772
5.791667,10.716667,-6.316667,-1.899485,-13.477287,24.987438
5.766667,10.675000,-6.358334,-1.787379,-15.965647,22.062969
5.733334,10.716667,-6.400001,-3.134787,-14.389419,20.948744
5.750000,10.716667,-6.300000,-3.907083,-12.586234,26.582856
5.675000,10.633334,-6.441667,-3.878239,-18.411781,17.672987
5.791667,10.758334,-6.316667,-2.453102,-11.500349,25.831039
5.675000,10.675000,-6.341667,-5.908724,-14.410265,24.396803
5.766667,10.691668,-6.341667,-2.254977,-14.837412,23.380446
5.766667,10.691668,-6.383334,-1.639612,-15.681003,20.930355
5.766667,10.633334,-6.275000,-2.464511,-16.255349,26.119598
5.850000,10.675000,-6.275000,0.504800,-15.385684,25.732442
5.808334,10.716667,-6.400001,0.035844,-15.385926,19.841079
5.716667,10.675000,-6.400001,-3.285740,-16.144915,20.351287
5.733334,10.650001,-6.383334,-2.495157,-17.215051,20.579048
5.766667,10.733334,-6.425000,-1.577851,-14.547700,19.323845
5.733334,10.691668,-6.275000,-4.648733,-13.044763,27.792924
5.733334,10.625001,-6.400001,-1.916844,-18.738629,19.092847
5.791667,10.733334,-6.400001,-0.890189,-14.373721,20.424661
5.766667,10.650001,-6.358334,-1.455216,-17.151783,21.556821
5.716667,10.816668,-6.425000,-4.798820,-9.929492,21.749482
5.691667,10.758334,-6.316667,-6.680589,-10.171679,27.307919
5.750000,10.800000,-6.550000,-1.322101,-13.693965,13.569437
5.833333,10.775001,-6.258334,-1.774611,-10.082170,28.983250
5.833333,10.716667,-6.275000,-0.753409,-13.187298,26.822192
